Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
142,M,18 and under,Domestic,Full Time,1,UNIT A,54,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2910,M,19-21,Domestic,Full Time,1,UNIT M,69,24,26,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2370,F,19-21,Domestic,Full Time,2,UNIT F,55,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2090,M,19-21,Domestic,Full Time,1,UNIT I,86,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1234,F,19-21,International,Full Time,2,UNIT D,75,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
692,M,22-25,International,Full Time,1,UNIT A,67,2,4,4,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
3014,F,19-21,Domestic,Full Time,1,UNIT A,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1397,F,18 and under,Domestic,Full Time,2,UNIT D,74,14,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3925,M,19-21,Domestic,Full Time,2,UNIT J,68,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1544,F,19-21,International,Full Time,2,UNIT A,85,10,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2105,F,18 and under,Domestic,Full Time,1,UNIT O,72,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1384,F,18 and under,Domestic,Full Time,2,UNIT J,70,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3422,M,18 and under,Domestic,Full Time,2,UNIT D,71,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2198,M,19-21,International,Full Time,2,UNIT D,61,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2060,M,19-21,International,Full Time,1,UNIT B,76,2,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
351,F,22-25,Domestic,Full Time,1,UNIT B,89,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3114,F,19-21,Domestic,Full Time,2,UNIT F,72,10,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2707,F,19-21,Domestic,Full Time,2,UNIT D,38,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1627,F,18 and under,Domestic,Full Time,2,UNIT B,67,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442,M,19-21,Domestic,Full Time,1,UNIT A,85,0,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2857,M,19-21,Domestic,Full Time,2,UNIT F,63,8,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1165,M,19-21,International,Full Time,1,UNIT I,50,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
801,F,19-21,International,Full Time,1,UNIT A,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2920,F,19-21,Domestic,Full Time,1,UNIT C,50,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3903,F,18 and under,International,Full Time,2,UNIT D,51,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1299,M,18 and under,Domestic,Full Time,2,UNIT G,82,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,F,19-21,International,Full Time,1,UNIT I,77,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4097,M,19-21,Domestic,Full Time,1,UNIT I,42,0,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1635,M,18 and under,Domestic,Full Time,1,UNIT A,39,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2175,F,19-21,Domestic,Full Time,1,UNIT C,89,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4059,F,19-21,International,Full Time,2,UNIT E,43,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4180,M,Over 25,Domestic,Full Time,1,UNIT H,72,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1785,M,19-21,Domestic,Full Time,2,UNIT J,52,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4109,F,Over 25,Domestic,Full Time,1,UNIT H,92,6,6,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2771,M,19-21,International,Full Time,1,UNIT I,81,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2362,M,19-21,Domestic,Full Time,1,UNIT A,81,6,6,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2515,F,19-21,International,Full Time,1,UNIT I,81,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2296,F,18 and under,Domestic,Full Time,1,UNIT A,63,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
938,M,19-21,Domestic,Full Time,1,UNIT B,71,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
611,M,22-25,Domestic,Full Time,2,UNIT N,91,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3364,F,19-21,International,Full Time,1,UNIT B,90,40,40,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1128,F,18 and under,Domestic,Full Time,2,UNIT G,69,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1890,M,Over 25,Domestic,Full Time,1,UNIT I,56,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3779,M,22-25,International,Full Time,1,UNIT I,79,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1044,F,19-21,Domestic,Full Time,1,UNIT O,73,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,M,19-21,International,Full Time,1,UNIT A,72,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3052,F,19-21,Domestic,Full Time,1,UNIT O,58,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2077,F,19-21,Domestic,Full Time,2,UNIT F,69,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2640,F,19-21,Domestic,Full Time,1,UNIT C,65,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3143,M,19-21,Domestic,Full Time,1,UNIT A,80,22,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
598,M,18 and under,Domestic,Full Time,1,UNIT I,73,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,M,19-21,Domestic,Full Time,1,UNIT K,80,22,24,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4037,M,19-21,International,Full Time,2,UNIT D,50,10,12,12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3574,M,19-21,International,Full Time,2,UNIT B,65,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2253,M,22-25,Domestic,Full Time,1,UNIT B,74,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3151,M,19-21,International,Full Time,1,UNIT I,28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3803,M,19-21,International,Full Time,2,UNIT D,47,8,8,8,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0
2038,F,19-21,Domestic,Full Time,1,UNIT O,63,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,M,19-21,International,Full Time,2,UNIT J,56,0,0,2,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
463,F,18 and under,Domestic,Full Time,2,UNIT F,24,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2039,M,19-21,International,Full Time,1,UNIT A,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2831,F,19-21,Domestic,Full Time,1,UNIT B,61,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3912,M,18 and under,Domestic,Full Time,1,UNIT O,65,0,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2692,F,19-21,International,Full Time,1,UNIT B,77,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1733,F,19-21,Domestic,Full Time,2,UNIT D,84,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1985,F,19-21,Domestic,Full Time,2,UNIT G,81,14,14,14,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
2912,F,Over 25,Domestic,Full Time,1,UNIT H,83,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1775,M,19-21,International,Full Time,2,UNIT G,78,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3995,F,18 and under,Domestic,Full Time,1,UNIT H,87,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2846,F,19-21,Domestic,Full Time,2,UNIT G,55,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3684,F,19-21,International,Full Time,1,UNIT I,72,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
418,M,19-21,Domestic,Full Time,1,UNIT I,62,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
4017,M,19-21,International,Full Time,1,UNIT A,53,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1023,M,18 and under,Domestic,Full Time,2,UNIT D,92,30,32,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3092,M,19-21,Domestic,Full Time,2,UNIT J,78,30,38,40,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2647,M,19-21,Domestic,Full Time,1,UNIT H,72,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
988,M,19-21,Domestic,Full Time,1,UNIT O,38,6,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3300,M,19-21,Domestic,Full Time,2,UNIT J,64,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4085,F,19-21,Domestic,Full Time,2,UNIT F,73,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
558,F,18 and under,International,Full Time,1,UNIT I,46,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2580,F,19-21,International,Full Time,2,UNIT A,64,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1135,F,19-21,Domestic,Full Time,1,UNIT O,58,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1706,M,18 and under,Domestic,Full Time,1,UNIT B,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1786,F,18 and under,Domestic,Full Time,2,UNIT G,73,18,18,18,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
470,M,19-21,International,Full Time,2,UNIT E,84,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1249,F,19-21,Domestic,Full Time,2,UNIT J,39,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1361,M,19-21,Domestic,Full Time,1,UNIT A,57,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2151,M,22-25,International,Full Time,1,UNIT A,77,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2031,F,19-21,International,Full Time,1,UNIT A,85,2,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2835,F,19-21,International,Full Time,2,UNIT J,82,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,F,19-21,Domestic,Full Time,2,UNIT D,84,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2459,M,19-21,International,Full Time,1,UNIT I,57,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4041,M,19-21,Domestic,Full Time,2,UNIT F,59,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1602,F,19-21,International,Full Time,2,UNIT F,77,10,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3657,F,18 and under,Domestic,Full Time,2,UNIT D,81,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3450,M,19-21,International,Full Time,2,UNIT J,23,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
860,F,19-21,Domestic,Full Time,1,UNIT C,68,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
970,F,19-21,Domestic,Full Time,2,UNIT J,82,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3629,F,19-21,Domestic,Full Time,2,UNIT F,76,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2710,F,19-21,Domestic,Full Time,2,UNIT G,68,36,38,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,M,19-21,Domestic,Full Time,1,UNIT C,51,6,6,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,F,19-21,Domestic,Full Time,2,UNIT F,50,2,2,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3957,M,18 and under,Domestic,Full Time,2,UNIT F,82,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3060,F,19-21,Domestic,Full Time,1,UNIT O,52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1463,F,19-21,International,Full Time,2,UNIT D,61,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2629,M,18 and under,International,Full Time,1,UNIT A,68,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,M,18 and under,Domestic,Full Time,2,UNIT B,90,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2702,F,18 and under,International,Full Time,2,UNIT A,64,6,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2119,F,19-21,Domestic,Full Time,2,UNIT J,76,32,32,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2461,M,19-21,Domestic,Full Time,1,UNIT M,65,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1505,M,19-21,Domestic,Full Time,2,UNIT D,55,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2485,F,19-21,Domestic,Full Time,2,UNIT F,63,2,4,6,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1602,F,19-21,International,Full Time,2,UNIT G,81,10,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1619,M,19-21,International,Full Time,2,UNIT N,63,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1872,M,19-21,International,Full Time,2,UNIT D,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3906,M,19-21,Domestic,Full Time,1,UNIT K,33,0,8,16,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
939,M,18 and under,Domestic,Full Time,2,UNIT J,65,22,26,28,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
2252,F,19-21,Domestic,Full Time,2,UNIT G,58,6,6,6,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1
645,F,19-21,Domestic,Full Time,2,UNIT J,73,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393,M,19-21,Domestic,Full Time,2,UNIT D,65,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3030,F,19-21,Domestic,Full Time,1,UNIT I,62,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2775,M,22-25,Domestic,Part Time,1,UNIT I,38,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1391,F,18 and under,International,Full Time,2,UNIT A,98,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2274,F,19-21,International,Full Time,1,UNIT A,59,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1731,M,19-21,International,Full Time,2,UNIT J,60,36,38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1277,M,19-21,Domestic,Full Time,1,UNIT O,23,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2334,M,19-21,International,Full Time,2,UNIT J,47,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3361,F,19-21,Domestic,Full Time,2,UNIT D,77,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4205,M,19-21,International,Full Time,2,UNIT D,55,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2720,M,19-21,Domestic,Full Time,1,UNIT M,92,16,16,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2215,F,19-21,International,Full Time,1,UNIT A,71,14,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1103,M,19-21,International,Full Time,1,UNIT L,66,8,10,12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3230,M,18 and under,International,Full Time,2,UNIT D,74,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
856,M,18 and under,Domestic,Full Time,1,UNIT K,42,8,8,8,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
3053,M,19-21,International,Full Time,2,UNIT D,69,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3824,F,Over 25,Domestic,Full Time,1,UNIT H,51,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295,F,18 and under,International,Full Time,1,UNIT I,55,4,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2918,M,18 and under,Domestic,Full Time,2,UNIT J,75,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
345,F,19-21,Domestic,Full Time,1,UNIT C,59,16,16,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4100,F,19-21,International,Full Time,1,UNIT L,81,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2619,M,19-21,Domestic,Full Time,1,UNIT I,83,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3281,M,19-21,Domestic,Full Time,2,UNIT N,89,12,12,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
965,F,22-25,International,Full Time,1,UNIT I,57,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2686,F,19-21,Domestic,Full Time,2,UNIT J,90,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,M,18 and under,Domestic,Full Time,2,UNIT J,66,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,M,19-21,Domestic,Full Time,2,UNIT D,52,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1261,F,19-21,International,Full Time,1,UNIT A,62,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
303,M,22-25,Domestic,Full Time,2,UNIT G,57,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
722,M,Over 25,Domestic,Full Time,2,UNIT E,71,0,0,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
1275,M,19-21,Domestic,Full Time,1,UNIT I,85,14,18,22,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
501,M,19-21,International,Full Time,2,UNIT D,55,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3878,F,18 and under,International,Full Time,2,UNIT A,58,8,8,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
254,M,19-21,Domestic,Full Time,2,UNIT F,45,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3686,M,19-21,International,Full Time,2,UNIT D,76,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2496,M,19-21,Domestic,Full Time,2,UNIT D,59,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1240,F,19-21,Domestic,Full Time,1,UNIT A,76,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2429,F,19-21,Domestic,Full Time,1,UNIT O,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
100,F,18 and under,Domestic,Full Time,2,UNIT J,84,40,40,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3122,M,19-21,Domestic,Full Time,1,UNIT K,79,6,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3442,F,19-21,International,Full Time,2,UNIT F,84,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2315,M,19-21,International,Full Time,2,UNIT B,79,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2919,M,19-21,International,Full Time,2,UNIT E,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
812,M,19-21,Domestic,Full Time,1,UNIT M,57,50,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3836,M,19-21,International,Full Time,1,UNIT B,53,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2036,M,19-21,Domestic,Full Time,1,UNIT I,61,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3923,M,22-25,International,Full Time,1,UNIT I,71,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3781,F,19-21,Domestic,Full Time,2,UNIT A,54,10,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3959,M,19-21,Domestic,Full Time,2,UNIT G,59,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1222,F,18 and under,Domestic,Full Time,2,UNIT F,59,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2772,M,19-21,Domestic,Full Time,1,UNIT O,60,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3714,M,18 and under,Domestic,Full Time,2,UNIT J,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,F,19-21,International,Full Time,2,UNIT A,84,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1379,M,19-21,Domestic,Full Time,2,UNIT G,58,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2948,M,19-21,Domestic,Full Time,1,UNIT A,82,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2351,F,19-21,International,Full Time,1,UNIT B,50,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2626,F,19-21,International,Full Time,2,UNIT G,50,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2289,M,22-25,International,Full Time,2,UNIT N,91,26,36,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,F,19-21,Domestic,Full Time,1,UNIT A,24,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2217,F,19-21,Domestic,Full Time,1,UNIT H,66,0,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1606,F,18 and under,Domestic,Full Time,2,UNIT J,79,16,16,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1979,F,19-21,Domestic,Full Time,2,UNIT F,79,16,16,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3814,F,19-21,Domestic,Full Time,2,UNIT G,14,14,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2447,M,19-21,International,Full Time,1,UNIT A,53,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1306,M,19-21,International,Full Time,2,UNIT J,67,28,28,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3045,M,19-21,International,Full Time,1,UNIT A,44,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3123,M,19-21,International,Full Time,1,UNIT M,59,14,16,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1930,M,19-21,International,Full Time,1,UNIT O,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3005,M,19-21,International,Full Time,2,UNIT A,73,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
806,M,19-21,International,Full Time,2,UNIT J,38,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2114,F,19-21,Domestic,Full Time,1,UNIT C,63,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,F,19-21,Domestic,Full Time,1,UNIT M,60,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3988,M,19-21,International,Full Time,2,UNIT B,71,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3476,M,19-21,International,Full Time,2,UNIT D,54,2,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1429,M,18 and under,International,Full Time,1,UNIT I,83,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3722,M,19-21,International,Full Time,1,UNIT L,86,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
806,M,19-21,International,Full Time,2,UNIT D,45,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1957,M,19-21,Domestic,Full Time,2,UNIT D,83,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2509,F,19-21,Domestic,Full Time,2,UNIT G,44,10,10,10,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
3200,F,18 and under,Domestic,Full Time,1,UNIT A,75,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1943,M,19-21,International,Full Time,2,UNIT J,70,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3219,F,19-21,Domestic,Full Time,1,UNIT I,85,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
732,M,19-21,Domestic,Full Time,1,UNIT C,65,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2543,F,19-21,Domestic,Full Time,1,UNIT H,82,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3661,M,19-21,International,Full Time,1,UNIT A,70,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
550,M,19-21,Domestic,Full Time,2,UNIT J,72,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1076,M,19-21,Domestic,Full Time,1,UNIT I,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1649,M,19-21,Domestic,Full Time,2,UNIT D,71,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
305,M,19-21,Domestic,Full Time,2,UNIT D,72,0,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1175,F,18 and under,Domestic,Full Time,2,UNIT J,82,14,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
978,F,18 and under,International,Full Time,2,UNIT G,67,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2401,M,19-21,Domestic,Full Time,2,UNIT D,73,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1960,M,19-21,Domestic,Full Time,1,UNIT I,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
514,M,19-21,International,Full Time,1,UNIT A,59,0,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
3570,M,22-25,Domestic,Full Time,1,UNIT H,83,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,M,19-21,Domestic,Full Time,1,UNIT A,50,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
