Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
3089,F,19-21,International,Full Time,2,UNIT D,64,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1427,F,Over 25,Domestic,Full Time,1,UNIT H,62,0,6,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,F,18 and under,Domestic,Full Time,2,UNIT D,75,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1511,F,19-21,Domestic,Full Time,1,UNIT A,60,18,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
423,M,19-21,International,Full Time,2,UNIT D,71,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
706,F,19-21,International,Full Time,2,UNIT D,67,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1584,M,19-21,Domestic,Full Time,2,UNIT D,73,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
311,F,19-21,Domestic,Full Time,1,UNIT B,64,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2084,F,22-25,International,Full Time,2,UNIT E,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
610,M,19-21,Domestic,Part Time,1,UNIT O,57,4,4,4,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
1887,M,19-21,International,Full Time,2,UNIT B,77,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
566,F,18 and under,Domestic,Full Time,2,UNIT F,35,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3412,M,22-25,International,Full Time,1,UNIT I,67,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1984,M,Over 25,Domestic,Part Time,2,UNIT D,71,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1899,M,18 and under,Domestic,Full Time,2,UNIT D,73,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2261,F,19-21,Domestic,Full Time,2,UNIT J,64,16,16,16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4053,M,22-25,International,Full Time,1,UNIT I,65,6,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2981,M,19-21,International,Full Time,1,UNIT I,84,0,0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,M,19-21,International,Full Time,1,UNIT L,84,0,4,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
